date,regime,vt_scale,hddc_scale,overlay,total_scale,rolling_sharpe,kill_switch,gross_exposure,w_XLK,w_XLV,w_XLF,w_XLE,w_XLI,w_XLC,w_XLP,w_XLU,w_XLB,w_XLRE,w_SPY,w_QQQ,w_IWM,w_EFA,w_TLT,w_IEF,w_GLD,w_SHY,pair_XLP/XLU_w63_e2.25/x0.5,pair_XLP/XLU_w63_e2.25/x0.75,pair_XLP/XLU_w126_e2.25/x0.75,pair_XLP/XLU_w63_e2.0/x0.5,pair_XLP/XLU_w126_e1.75/x0.5
2026-03-15,Normal,2.0007,0.8239,1.6483,4.9449,-0.7077,True,0.74174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222522,0.519218,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2026-03-15,Normal,2.0007,0.8239,1.6483,4.9449,-0.7077,True,0.741739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222522,0.519217,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
